"6.94","241820","2020-11-13","2020-11-13","의료용품 및 기타 의약 관련제품 제조업"
"5.21","097230","2020-11-13","2020-11-13","토목 건설업"
"1.07","013580","2020-11-16","2020-11-16","토목 건설업"
"1.33","002210","2020-11-16","2020-11-16","의약품 제조업"
"0.94","301300","2020-11-16","2020-11-16","소프트웨어 개발 및 공급업"
"0","171090","2020-11-16","2020-11-16","특수 목적용 기계 제조업"
"-1.14","232830","2020-11-16","2020-11-16","소프트웨어 개발 및 공급업"
"2.6","040910","2020-11-16","2020-11-16","특수 목적용 기계 제조업"
"-3.3","010140","2020-11-17","2020-11-17","선박 및 보트 건조업"
"0.85","112610","2020-11-17","2020-11-17","구조용 금속제품, 탱크 및 증기발생기 제조업"
"1.11","009540","2020-11-17","2020-11-17","선박 및 보트 건조업"
"1.11","009540","2020-11-17","2020-11-17","선박 및 보트 건조업"
"-0.39","267250","2020-11-17","2020-11-17","석유 정제품 제조업"
"-0.39","267250","2020-11-17","2020-11-17","석유 정제품 제조업"
"0.13","088130","2020-11-18","2020-11-18","특수 목적용 기계 제조업"
"-0.44","000720","2020-11-18","2020-11-18","토목 건설업"
"-0.44","000720","2020-11-18","2020-11-18","토목 건설업"
"0.76","028050","2020-11-19","2020-11-19","건축기술, 엔지니어링 및 관련 기술 서비스업"
"-0.5","222110","2020-11-19","2020-11-19","의약품 제조업"
"-0.5","222110","2020-11-19","2020-11-19","의약품 제조업"
"5.96","950130","2020-11-20","2020-11-20","의료용품 및 기타 의약 관련제품 제조업"
"-0.74","241820","2020-11-20","2020-11-20","의료용품 및 기타 의약 관련제품 제조업"
"-0.74","241820","2020-11-20","2020-11-20","의료용품 및 기타 의약 관련제품 제조업"
"-0.55","001880","2020-11-23","2020-11-23","건물 건설업"
"0","002150","2020-11-23","2020-11-23","건축기술, 엔지니어링 및 관련 기술 서비스업"
"5.87","064480","2020-11-23","2020-11-23","소프트웨어 개발 및 공급업"
"15.69","010140","2020-11-23","2020-11-23","선박 및 보트 건조업"
"1.39","046120","2020-11-23","2020-11-23","기타 과학기술 서비스업"
"0.97","232140","2020-11-23","2020-11-23","특수 목적용 기계 제조업"
"29.88","001020","2020-11-23","2020-11-23","펄프, 종이 및 판지 제조업"
"-4.49","241820","2020-11-23","2020-11-23","의료용품 및 기타 의약 관련제품 제조업"
"-4.49","241820","2020-11-23","2020-11-23","의료용품 및 기타 의약 관련제품 제조업"
"1.59","042700","2020-11-23","2020-11-23","특수 목적용 기계 제조업"
