409,센트랄모텍,308170
410,센트럴인사이트,12600
411,셀트리온,68270
412,솔루스첨단소재,336370
413,솔루엠,248070
414,송원산업,4430
415,수산인더스트리,126720
416,수산중공업,17550
417,스틱인베스트먼트,26890
418,시디즈,134790
419,신대양제지,16590
420,신도리코,29530
421,신라교역,4970
422,신성이엔지,11930
423,신성통상,5390
424,신세계,4170
425,신세계I&C,35510
426,신세계건설,34300
427,신세계인터내셔날,31430
428,신세계푸드,31440
429,신송홀딩스,6880
430,신영와코루,5800
431,신영증권,1720
432,신원,9270
433,신일전자,2700
434,신풍제약,19170
435,신풍제지,2870
436,신한서부티엔디리츠,404990
437,신한알파리츠,293940
438,신한지주,55550
439,신흥,4080
440,쌍방울,102280
441,쌍용씨앤이,3410
442,쌍용자동차,3620
443,써니전자,4770
444,쎌마테라퓨틱스,15540
445,씨아이테크,4920
446,씨에스윈드,112610
447,아남전자,8700
448,아모레퍼시픽,90430
449,아모레퍼시픽그룹,2790
450,아세아,2030
451,아세아시멘트,183190
452,아세아제지,2310
453,아센디오,12170
454,아시아나IDT,267850
455,아시아나항공,20560
456,아이마켓코리아,122900
457,아이에스동서,10780
458,아이에이치큐,3560
459,아주스틸,139990
460,알루코,1780
461,애경산업,18250
462,애경케미칼,161000
463,에넥스,11090
464,에스디바이오센서,137310
465,에스엘,5850
466,에스엠벡셀,10580
467,에스원,12750
468,에스제이엠,123700
469,에스제이엠홀딩스,25530
470,에스케이바이오팜,326030
471,에쓰씨엔지니어링,23960
472,에어부산,298690
473,에이리츠,140910
474,에이블씨엔씨,78520
475,에이엔피,15260
476,에이프로젠,7460
477,에이프로젠제약,3060
478,에이플러스에셋,244920
479,엔씨소프트,36570
480,엔에이치스팩19호,380440
481,엔에이치엔,181710
482,엔케이,85310
483,엔피씨,4250
484,엘브이엠씨,900140
485,엘에스일렉트릭,10120
486,엠씨넥스,97520
487,영보화학,14440
488,영원무역,111770
489,영원무역홀딩스,9970
490,영진약품,3520
491,영풍,670
492,영풍제지,6740
493,영화금속,12280
494,영흥,12160
495,예스코홀딩스,15360
496,오뚜기,7310
497,오리엔트바이오,2630
498,오리온,271560
499,오리온홀딩스,1800
500,와이투솔루션,11690
501,용평리조트,70960
502,우리금융지주,316140
503,우리종금,10050
504,우성,6980
505,우신시스템,17370
506,우진,105840
507,우진아이엔에스,10400
508,우진플라임,49800
509,웅진,16880
510,웅진씽크빅,95720
511,원림,5820
512,웰바이오텍,10600
513,윌비스,8600
514,유나이티드,33270
515,유니드,14830
516,유니온,910
517,유니온머티리얼,47400
518,유니켐,11330
519,유니퀘스트,77500
520,유성기업,2920
521,유수홀딩스,700
522,유안타증권,3470
523,유엔젤,72130
524,유유제약,220
525,유진증권,1200
526,유한양행,100
527,유화증권,3460
528,율촌화학,8730
529,이건산업,8250
530,이구산업,25820
531,이노션,214320
532,이리츠코크렙,88260
533,이마트,139480
534,이수페타시스,7660
535,이수화학,5950
536,이스타코,15020
537,이아이디,93230
538,이엔플러스,74610
539,이연제약,102460
540,이월드,84680
541,이지스레지던스리츠,350520
542,이지스밸류플러스리츠,334890
543,이화산업,760
544,인디에프,14990
545,인바이오젠,101140
546,인스코비,6490
547,인지컨트롤스,23800
548,인천도시가스,34590
549,인터지스,129260
550,인팩,23810
551,일동제약,249420
552,일동홀딩스,230
553,일성건설,13360
554,일성신약,3120
555,일신방직,3200
556,일신석재,7110
557,일양약품,7570
558,일정실업,8500
559,일진다이아,81000
560,일진디스플,20760
561,일진머티리얼즈,20150
562,일진전기,103590
563,일진하이솔루스,271940
564,일진홀딩스,15860
565,잇츠한불,226320
566,자이에스앤디,317400
567,자화전자,33240
568,전방,950
569,제이알글로벌리츠,348950
570,제이에스코퍼레이션,194370
571,제이준코스메틱,25620
572,제일기획,30000
573,제일약품,271980
574,제일연마,1560
575,제일파마홀딩스,2620
576,제주은행,6220
577,제주항공,89590
578,조광페인트,4910
579,조광피혁,4700
580,조비,1550
581,조선내화,480
582,조선선재,120030
583,조일알미늄,18470
584,조흥,2600
585,종근당,185750
586,종근당바이오,63160
587,종근당홀딩스,1630
588,주연테크,44380
589,지누스,13890
590,지엠비코리아,13870
591,지역난방공사,71320
592,지투알,35000
593,진도,88790
594,진양산업,3780
595,진양폴리우레탄,10640
596,진양홀딩스,100250
597,진양화학,51630
