,회사명,종목코드
565,성우테크론,45300
566,성우하이텍,15750
567,성일하이텍,365340
568,성창오토텍,80470
569,성호전자,43260
570,세경하이테크,148150
571,세동,53060
572,세림B&G,340440
573,세명전기,17510
574,세보엠이씨,11560
575,세아메카닉스,396300
576,세운메디칼,100700
577,세원물산,24830
578,세종메디칼,258830
579,세종텔레콤,36630
580,세중,39310
581,세진티에스,67770
582,세코닉스,53450
583,세화피앤씨,252500
584,센코,347000
585,셀레믹스,331920
586,셀루메드,49180
587,셀리드,299660
588,셀리버리,268600
589,셀바스AI,108860
590,셀바스헬스케어,208370
591,셀트리온제약,68760
592,셀트리온헬스케어,91990
593,소니드,60230
594,소룩스,290690
595,소리바다,53110
596,소마젠,950200
597,소프트센,32680
598,소프트캠프,258790
599,손오공,66910
600,솔고바이오,43100
601,솔루에타,154040
602,솔본,35610
603,솔브레인,357780
604,솔브레인홀딩스,36830
605,솔트룩스,304100
606,쇼박스,86980
607,수산아이앤티,50960
608,수젠텍,253840
609,슈프리마,236200
610,슈프리마아이디,317770
611,슈프리마에이치큐,94840
612,슈피겐코리아,192440
613,스마트솔루션즈,136510
614,스맥,99440
615,스카이문스테크놀로지,33790
616,스카이이앤엠,131100
617,스코넥,276040
618,스킨앤스킨,159910
619,스타플렉스,115570
620,스톤브릿지벤처스,330730
621,스튜디오드래곤,253450
622,스튜디오산타클로스,204630
623,스페코,13810
624,승일,49830
625,시공테크,20710
626,시그네틱스,33170
627,시너지이노베이션,48870
628,시노펙스,25320
629,시스웍,269620
630,시큐브,131090
631,시티랩스,139050
632,신도기연,290520
633,신라섬유,1000
634,신라에스지,25870
635,신라젠,215600
636,신성델타테크,65350
637,신신제약,2800
638,신영스팩6호,344050
639,신영스팩7호,419270
640,신원종합개발,17000
641,신일제약,12790
642,신진에스엠,138070
643,신테카바이오,226330
644,신한제10호스팩,418210
645,신한제6호스팩,333050
646,신한제7호스팩,366330
647,신한제8호스팩,393360
648,신한제9호스팩,405640
649,신화인터텍,56700
650,신화콘텍,187270
651,신흥에스이씨,243840
652,실리콘투,257720
653,심텍,222800
654,심텍홀딩스,36710
655,싸이맥스,160980
656,싸이버원,356890
657,싸이토젠,217330
658,쌍용정보통신,10280
659,썸에이지,208640
660,쎄노텍,222420
661,쎄니트,37760
662,쎄트렉아이,99320
663,쎌바이오텍,49960
664,쏠리드,50890
665,씨씨에스,66790
666,씨아이에스,222080
667,씨앤씨인터내셔널,352480
668,씨앤지하이테크,264660
669,씨앤투스성진,352700
670,씨에스베어링,297090
671,씨엔알리서치,359090
672,씨엔플러스,115530
673,씨유메디칼,115480
674,씨유테크,376290
675,씨이랩,189330
676,씨젠,96530
677,씨케이에이치,900120
678,씨큐브,101240
679,씨티씨바이오,60590
680,씨티케이,260930
681,아가방컴퍼니,13990
682,아나패스,123860
683,아난티,25980
684,아리온,58220
685,아모그린텍,125210
686,아모센스,357580
687,아모텍,52710
688,아미노로직스,74430
689,아미코젠,92040
690,아바코,83930
691,아바텍,149950
692,아비코전자,36010
693,아세아텍,50860
694,아셈스,136410
695,아스타,246720
696,아스트,67390
697,아스플로,159010
698,아시아경제,127710
699,아시아종묘,154030
700,아우딘퓨쳐스,227610
701,아이디스,143160
702,아이디스홀딩스,54800
703,아이디피,332370
704,아이비김영,339950
705,아이센스,99190
706,아이스크림에듀,289010
707,아이쓰리시스템,214430
708,아이씨디,40910
709,아이씨에이치,368600
710,아이씨케이,68940
711,아이앤씨,52860
712,아이에스이커머스,69920
713,아이에이,38880
714,아이엘사이언스,307180
715,아이엠,101390
716,아이오케이,78860
717,아이원스,114810
718,아이윈,90150
719,아이윈플러스,123010
720,아이즈비전,31310
721,아이진,185490
722,아이컴포넌트,59100
723,아이퀘스트,262840
724,아이큐어,175250
725,아이크래프트,52460
726,아이텍,119830
727,아이톡시,52770
728,아이티센,124500
729,아이티아이즈,372800
730,아이티엠반도체,84850
731,아이패밀리에스씨,114840
732,아주IB투자,27360
733,아즈텍WB,32080
734,아진산업,13310
735,아진엑스텍,59120
736,아톤,158430
737,아프리카TV,67160
738,안국약품,1540
739,안랩,53800
740,안트로젠,65660
741,알로이스,297570
742,알리코제약,260660
743,알비더블유,361570
744,알서포트,131370
745,알에스오토메이션,140670
746,알에프세미,96610
747,알에프텍,61040
748,알엔투테크놀로지,148250
749,알체라,347860
750,알테오젠,196170
751,알톤스포츠,123750
752,알티캐스트,85810
753,알파홀딩스,117670
754,압타머사이언스,291650
755,압타바이오,293780
756,애니젠,196300
757,애니플러스,310200
758,애드바이오텍,179530
759,애머릿지,900100
760,액션스퀘어,205500
761,액토즈소프트,52790
762,액트로,290740
763,앤디포스,238090
764,앤씨앤,92600
765,앱코,129890
766,앱클론,174900
767,야스,255440
768,양지사,30960
769,어보브반도체,102120
770,어스앤에어로스페이스,263540
771,얼라인드,238120
772,에너토크,19990
773,에브리봇,270660
774,에스넷,38680
775,에스디생명공학,217480
776,에스디시스템,121890
777,에스맥,97780
778,에스씨디,42110
779,에스씨엠생명과학,298060
780,에스아이리소스,65420
781,에스앤더블류,103230
782,에스앤디,260970
783,에스앤에스텍,101490
784,에스에너지,95910
785,에스에스알,275630
786,에스에이엠티,31330
787,에스에이티,60540
788,에스에이티이엔지,351320
789,에스에프에이,56190
790,에스엔유,80000
791,에스엘바이오닉스,214310
792,에스엠,41510
793,에스엠코어,7820
794,에스와이,109610
795,에스제이그룹,306040
796,에스케이증권7호스팩,408920
797,에스코넥,96630
798,에스텍,69510
799,에스텍파마,41910
800,에스트래픽,234300
801,에스티아이,39440
802,에스티오,98660
803,에스티큐브,52020
804,에스티팜,237690
805,에스폴리텍,50760
806,에스퓨얼셀,288620
807,에스피시스템스,317830
808,에스피지,58610
809,에쎈테크,43340
810,에이디엠코리아,187660
811,에이디칩스,54630
812,에이디테크놀로지,200710
813,에이루트,96690
814,에이비엘바이오,298380
815,에이비온,203400
816,에이비프로바이오,195990
817,에이스침대,3800
818,에이스테크,88800
819,에이스토리,241840
820,에이에프더블류,312610
821,에이치시티,72990
822,에이치앤비디자인,227100
823,에이치엘사이언스,239610
824,에이치엠씨제4호스팩,353070
825,에이치엠씨제5호스팩,353060
826,에이치와이티씨,148930
827,에이치케이,44780
828,에이치피오,357230
829,에이테크솔루션,71670
830,에이텍,45660
831,에이텍티앤,224110
832,에이트원,230980
833,에이티넘인베스트,21080
834,에이티세미콘,89530
835,에이팩트,200470
836,에이프로,262260
837,에이프로젠 H&G,109960
838,에이프릴바이오,397030
839,에이피티씨,89970
840,에치에프알,230240
841,에코마케팅,230360
842,에코바이오,38870
843,에코캡,128540
844,에코프로,86520
845,에코프로비엠,247540
846,에코프로에이치엔,383310
847,에코플라스틱,38110
848,에프알텍,73540
849,에프앤가이드,64850
850,에프앤리퍼블릭,64090
851,에프에스티,36810
852,에프엔씨엔터,173940
853,에프엔에스테크,83500
854,엑사이엔씨,54940
855,엑세스바이오,950130
856,엑셈,205100
857,엑스큐어,70300
858,엑시콘,92870
859,엔바이오니아,317870
860,엔브이에이치코리아,67570
861,엔비티,236810
862,엔시스,333620
863,엔시트론,101400
864,엔에스,217820
865,엔에스엔,31860
866,엔에이치스팩20호,391060
867,엔에이치스팩22호,396770
868,엔에이치스팩23호,422040
869,엔에프씨,265740
870,엔젠바이오,354200
871,엔지스테크널러지,208860
872,엔지켐생명과학,183490
873,엔케이맥스,182400
874,엔켐,348370
875,엔텔스,69410
876,엔투텍,227950
877,엔피,291230
878,엔피디,198080
879,엔피케이,48830
880,엘디티,96870
881,엘비루셈,376190
882,엘비세미콘,61970
883,엘아이에스,138690
884,엘앤씨바이오,290650
885,엘앤에프,66970
886,엘앤케이바이오,156100
887,엘엠에스,73110
888,엘오티베큠,83310
889,엘컴텍,37950
890,엘티씨,170920
891,엠게임,58630
892,엠로,58970
893,엠벤처투자,19590
894,엠브레인,169330
895,엠아이텍,179290
896,엠에스씨,9780
