"2.52","099750","2019-11-01","2019-11-01"
"0.49","226320","2019-11-01","2019-11-01"
"1.2","009520","2019-11-01","2019-11-01"
"-0.34","097230","2019-11-01","2019-11-01"
"2.36","044450","2019-11-04","2019-11-04"
"1.8","282880","2019-11-04","2019-11-04"
"1.73","002230","2019-11-04","2019-11-04"
"2.13","238490","2019-11-04","2019-11-04"
"-1.13","060370","2019-11-05","2019-11-05"
"1.88","137940","2019-11-06","2019-11-06"
"-0.64","000210","2019-11-06","2019-11-06"
"1.65","052790","2019-11-06","2019-11-06"
"2.48","097230","2019-11-06","2019-11-06"
"1.74","012450","2019-11-06","2019-11-06"
"1.61","012630","2019-11-07","2019-11-07"
"2.76","294870","2019-11-07","2019-11-07"
"-2.06","099320","2019-11-07","2019-11-07"
"2","100840","2019-11-08","2019-11-08"
"2","100840","2019-11-08","2019-11-08"
"1.29","036530","2019-11-08","2019-11-08"
"1.29","036530","2019-11-08","2019-11-08"
"9.93","112610","2019-11-08","2019-11-08"
"5.31","023350","2019-11-08","2019-11-08"
"0.4","001260","2019-11-11","2019-11-11"
"2.39","142280","2019-11-11","2019-11-11"
"-0.17","217820","2019-11-12","2019-11-12"
"0.17","285770","2019-11-13","2019-11-13"
"4.43","011000","2019-11-13","2019-11-13"
"2.71","009310","2019-11-13","2019-11-13"
"2.71","009310","2019-11-13","2019-11-13"
"-2.32","004440","2019-11-14","2019-11-14"
"0.58","126880","2019-11-14","2019-11-14"
"-0.55","002020","2019-11-14","2019-11-14"
"-0.97","003070","2019-11-14","2019-11-14"
"-1.83","112610","2019-11-15","2019-11-15"
"0.9","012630","2019-11-18","2019-11-18"
"0.87","294870","2019-11-18","2019-11-18"
"0.8","112610","2019-11-18","2019-11-18"
"1.7","012450","2019-11-18","2019-11-18"
"0.47","010620","2019-11-19","2019-11-19"
"3.62","112610","2019-11-20","2019-11-20"
"-1.94","173130","2019-11-20","2019-11-20"
"-1.35","003670","2019-11-20","2019-11-20"
"-1.35","003670","2019-11-20","2019-11-20"
"-1.74","036460","2019-11-20","2019-11-20"
"-2.39","009440","2019-11-21","2019-11-21"
"-1.35","119650","2019-11-21","2019-11-21"
"-2.67","900260","2019-11-21","2019-11-21"
"-1.4","009440","2019-11-22","2019-11-22"
"-1.52","119650","2019-11-22","2019-11-22"
"0.27","100840","2019-11-25","2019-11-25"
"0","036530","2019-11-25","2019-11-25"
"0.45","037350","2019-11-25","2019-11-25"
"0.42","012630","2019-11-26","2019-11-26"
"1.38","294870","2019-11-26","2019-11-26"
"-0.1","004200","2019-11-26","2019-11-26"
"0.86","011930","2019-11-26","2019-11-26"
"0.92","047810","2019-11-26","2019-11-26"
"0.92","047810","2019-11-26","2019-11-26"
"-0.64","000210","2019-11-27","2019-11-27"
"-0.61","025560","2019-11-27","2019-11-27"
